Algorithmus;k;iter;stdev;reg;lr;Data_rep;test;m(AE);M(AE);m(RE);M(RE);gini
mcmc;8;400;0;0;0;ids;TRUE;4.026149369;3.89761;Inf;Inf;NA
mcmc;8;400;0;0;0;ids;FALSE;2.777154655;2.27122;1.331016292;0.683691;0.295560335
mcmc;8;400;0;0;0;setindicators;FALSE;2.73769092;2.18215;1.305441103;0.67482;0.340246806
mcmc;8;400;0;0;0;indicators;FALSE;2.736485667;2.15564;1.300250313;0.669594167;0.3433875
mcmc;4;1000;0;0;0;ids;FALSE;2.779261576;2.2712;1.333650848;0.686631429;0.291231701
mcmc;2;200;0;0;0;indicators;FALSE;2.747040335;2.20966;1.31289779;0.675360769;0.331411354
mcmc;2;2000;0;0;0;indicators;FALSE;2.749002783;2.19974;1.313145707;0.673283077;0.329153537
mcmc;2;200;0;0;0;indicators;FALSE;2.745161927;2.21749;1.311483893;0.672473;0.331504921
mcmc;16;200;0;0;0;indicators;FALSE;2.736302914;2.15461;1.298111576;0.666769;0.342360341
mcmc;16;2000;0;0;0;indicators;FALSE;2.73904355;2.15407;1.29992538;0.66735;0.34179157
mcmc;16;200;0;0;0;indicators;FALSE;2.736562944;2.15563;1.299584603;0.668645;0.343472282
mcmc;2;200;0;0;0;indicators;FALSE;2.74465596;2.2176;1.311325353;0.673897857;0.331988016
mcmc;2;2000;0;0;0;indicators;FALSE;2.748487551;2.20639;1.312934916;0.673037;0.329434271
mcmc;2;200;0;0;0;indicators;FALSE;2.746689454;2.19414;1.31081345;0.673970667;0.329760898
mcmc;10;200;0;0;0;indicators;FALSE;2.736425475;2.15467;1.300252047;0.668933846;0.34270815
mcmc;10;200;0;0;0;clean;FALSE;2.736425475;2.15467;1.300252047;0.668933846;0.34270815
mcmc;8;800;0;0;0;indicators clean;FALSE;2.747156844;2.18091;1.309680485;0.67282;0.328623898
mcmc;4;200;0;0;0;indicators;FALSE;2.74044595;2.17664;1.305047506;0.673075;0.337852776
mcmc;4;400;0;0;0;indicators;FALSE;2.740166792;2.17045;1.304780664;0.672010909;0.338741071
mcmc;4;600;0;0;0;indicators;FALSE;2.741677398;2.17443;1.306135102;0.672828571;0.338298674
mcmc;4;800;0;0;0;indicators;FALSE;2.741708285;2.17348;1.306481017;0.673574;0.338566138
mcmc;4;1000;0;0;0;indicators;FALSE;2.741608798;2.17826;1.306370358;0.673657647;0.339245792
mcmc;4;1200;0;0;0;indicators;FALSE;2.742759624;2.17477;1.306997358;0.672340909;0.33798157
mcmc;4;1400;0;0;0;indicators;FALSE;2.742529955;2.17341;1.306934224;0.673045;0.338750497
mcmc;4;1600;0;0;0;indicators;FALSE;2.74246453;2.1771;1.306951642;0.673857273;0.338310857
mcmc;4;1800;0;0;0;indicators;FALSE;2.742637478;2.17837;1.306643659;0.673772143;0.338506282
mcmc;4;2000;0;0;0;indicators;FALSE;2.742161576;2.18046;1.306658624;0.673205;0.338755839
mcmc;6;200;0;0;0;indicators;FALSE;2.737245906;2.16396;1.302528031;0.66869;0.340899194
